N,Page,ID,Name,Author,Description,Tags,Sensors
473,32,3268588,Temperature &Humidity,mwa0000038316161,Measurement of Temperature&Humidity,[],"temperature, temp, humidity"
474,32,3268595,Temp_DTH11,mwa0000038226146,measurement of temperature and humidity,[],"temperature, temp, humidity"
475,32,3268612,Pavithra_DHT11,mwa0000039328292,"Temperature measurement 
Humidity measurement",[],"temperature, temp, humidity"
476,32,3268601,DHANUSH_DTH11,mwa0000032432034,MEASUREMENT OF TEMPERATURE AND HUMIDITY,[],"temperature, temp, humidity"
477,32,3268577,Lab 4,mwa0000038292759,DNEA Lab 4. Thingspeak,[],Unknown
478,32,3268552,MEASUREMENTS,mwa0000040497242,Measure Temperature and Humidity using DHT 11,[],"temperature, temp, humidity"
479,32,3230591,442_ENS160,aflowers,Monitoring jakości powietrza w Sali 442 (czujnik ENS160),[],Unknown
480,32,3268461,GummaDTH11,mwa0000034419080,Temperature and Humidity Measuring,[],"temperature, temp, humidity"
481,33,17504,Example Data Test Ch...,adarshmurthy,Use this channel to test MATLAB examples. Note that others might be writing data to this channel as well. Try again if you don't see your data.,[],Unknown
482,33,1106668,weather channel,mwa0000017916745,analyzing weather,[],Unknown
483,33,3265540,PAWQMS4,mwa0000035606469,Pagbilao-Padre Burgos Prototype,[],Unknown
484,33,3268114,Zadanie 1 - PIOT,mwa0000034997959,Lorem ipsum dolor sit amet,[],Unknown
485,33,3268113,test_channel,mwa0000031985774,cv_01,[],Unknown
486,33,3268144,Material sorting system,mwa0000040087998,"metal,plastic,glass sorting data form raspberry pi",[],Unknown
487,33,3268121,Zadanie_1,mwa0000031316650,Meteo stanica,[],Unknown
488,33,2532715,AIRQO_G5335,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
489,33,3237721,Dias Home,mwa0000040240823,StromWächter,[],Unknown
490,33,3268126,30217@1150123,mwa0000040227366,IOT 空氣品質偵測,[],Unknown
491,33,3267950,DHT11_Ishita,mwa0000040494138,Streaming sensor data,[],Unknown
492,33,3267979,Environmental Monitor,mwa0000027169384,Ejemplo IoT,[],Unknown
493,33,3217086,Library book trackin...,mwa0000040025246,IOT based Book issue tracking,[],Unknown
494,33,3252521,TravelSafe Guardian,mwa0000040382746,"IoT safety monitor for travelers: temp, humidity, motion, distance, light, 24h timer status",[],"temp, humidity, light, motion"
495,33,3241421,PIR,mwa0000040208472,LED + ThingSpeak,[],Unknown
496,34,3267991,DHT11_Shriya,mwa0000040494372,Streaming sensor data,[],Unknown
497,34,3258962,exp9,mwa0000038655914,upload temperature and humidity to thingspeak cloud,[],"temperature, temp, humidity"
498,34,3267953,DHT-11 sensor-Things...,mwa0000037286093,Send data to cloud,[],Unknown
499,34,3267952,DHT11_Ishita,mwa0000040494138,Streaming sensor data,[],Unknown
500,34,2586773,Quinta do Pisão - SOLO,mwa0000034294307,"Sistema instalado em pomar jovem de maçã na Quinta do Pisão, no âmbito do projeto TEC4GREEN. 
Distribuição de dados --> H25, T25, CE25, H50, T50, CE50",[],Unknown
501,34,2586772,Quinta do Pisão - Es...,mwa0000034294307,"Sistema instalado em pomar jovem de maçã na Quinta do Pisão, no âmbito do projeto TEC4GREEN. 
Distribuição de dados --> PARc, Tair, Hair,WS,dirW,Rain,WL,vpd",[],rain
502,34,3267946,IOT enables solar tr...,mwa0000040494293,"Real-time monitoring of solar voltage, battery status, and electric fence operation using ESP32 and IoT cloud platform.",[],voltage
503,34,3258981,exp8,mwa0000037286093,dht11,[],dht11
504,34,3068388,MAPLRnD 7sensor,mwa0000038568310,data logger,[],Unknown
505,34,3267940,exp-9,mwa0000035839306,hiii,[],Unknown
506,34,3264403,DHT11,mwa0000040462818,TEMP data,[],temp
507,34,3267373,Smart Home Protector...,mwa0000040487885,"fire,gas,motion monitoring system",[],"gas, motion"
508,34,3267899,kekuatan sinyal,mwa0000039154274,enjoy the creation,[],Unknown
509,34,3076244,DTH11,mwa0000035523277,find temp and humidity,[],"temp, humidity"
510,34,3201475,IOT Home Data,mwa0000023117513,Esp 8266,[],Unknown
511,35,3267812,PIR_Sensor,mwa0000040208424,Thingspeak + PIR,[],pir
512,35,3267806,PIR,mwa0000040208411,PIR sensor,[],pir
513,35,551819,Чепинци,hilmi100,,"['чепинци', 'chepinci']",Unknown
514,35,3267678,DHT11_Radhika,mwa0000040493260,Streaming Sensor Data,[],Unknown
515,35,3260269,Channel 3260269,mwa0000040440801,Rain Gauge,[],rain
516,35,3267655,Señal analógica,ealamilla,Simulación de una señal analógica usando una onda senoidal simulada (Simulate Signal) en Labview.,[],Unknown
517,35,3267656,Panya online,mwa0000036414768,bkk,[],Unknown
518,35,3186984,panya iot,mwa0000036414768,bkk,[],Unknown
519,35,3267651,BroTanic Garden,mwa0000040492564,MAPP Project to GET/POST our website,[],Unknown
520,35,3264966,ESP32 DHT11 FERNANDO,mwa0000040470625,Lee Temperatura y Humedad desde un DHT11,[],"temp, dht11"
521,35,3267645,DE.2024/6008_David_R...,mwa0000040492326,Temperature and Humidity Monitor.,[],"temperature, temp, humidity"
522,35,1678482,Nine-Twelve,mwa0000025966445,Last Temperatures,[],"temperature, temp"
523,35,3201995,Proyecto Métodos Num...,AndresG123,Adquisicion de datos,[],Unknown
524,35,3044402,Campbell Repair 16 -...,mwa0000019692392,"Campbell Repair 16
SN: 332525
Check Dr
New DRUCK
DRUCK Replaced 1/6/26",[],Unknown
525,35,3258515,Projet IoT M2,mwa0000034312117,"Surveillance de la température, de l’humidité et de la qualité de l’air
avec alertes locales via ESP32.",[],temp
526,36,3264962,John and Ben Tempera...,mwa0000040470514,Temperature probe for sensors lab.,[],"temperature, temp"
527,36,3258498,Bryden Temperature Lab,mwa0000038603013,EP 4210 Sensor Lab,[],Unknown
528,36,2802853,Thermo-hygro,metal83,Temperature and humidity,[],"temperature, temp, humidity"
529,36,3267579,Analizador para moni...,mwa0000033549562,Analizador de red monofásico enfocado en monitorear un equipo multiparámetro medico,[],Unknown
530,36,3267415,test,jerzat15,"esp8266, dht11",[],dht11
531,36,2982402,Tempo agora,mwa0000034349860,Sensor DHT11,[],dht11
532,36,3267227,GreenAirCleaner,mwa0000040486627,"Channel for ""Green Air Cleaner"" Project",[],Unknown
533,36,1842172,Gasverbrauch,shuppertz,Gasverbrauch Pützweg 7,[],gas
534,36,3267400,Prvi projekt NM RM,mwa0000040488473,Opis projekta,[],Unknown
535,36,3262099,Positions - Genauigkeit,yy56xjk18,Test GPS-Module zB.  Neo - 6/8,[],gps
536,36,3267464,Cviko1_meteo,mwa0000031112711,hahaxd,[],Unknown
537,36,3202963,Aquasecure IDT,mwa0000039916488,"Waterborne Disease Monitoring & Prediction System is an IDT project aimed at tracking water quality, analyzing disease trends, and predicting outbreak risks in northern India using AI, GIS, and real-time data to enable early alerts, safer water access, an",[],water
538,36,3266162,Columna burbujeo ODx...,mwa0000040478664,"ThinkSpeak_ODx2_EC_TDS_Temp_TFT_ST7732_v1_5
    ThingSpeak.setField(1, tdsValue);
    ThingSpeak.setField(2, temperature);
    ThingSpeak.setField(3, ecValue);
    ThingSpeak.setField(4, OD_value1);
    ThingSpeak.setField(5, OD_value2);",[],"temperature, temp"
539,36,3267409,prvi projekat,mwa0000040488606,temperatura i vlaznost,[],temp
540,36,3266462,Home sensors,mwa0000040482619,Try,[],Unknown
541,37,3267234,34322 IoT - SUN,mwa0000028304546,Something,[],Unknown
542,37,3264757,heart beat sensor,mwa0000040467423,gives number of beats per minute,[],Unknown
543,37,3267221,temprature,davebr36,LM35,[],Unknown
544,37,3267183,cyberphysics_weather,mwa0000040274968,xyz,[],Unknown
545,37,3259209,E 9,mwa0000034643538,Temp & Humidity,[],"temp, humidity"
546,37,3267195,ID123456,mwa0000040486246,xyz,[],Unknown
547,37,3267081,smart vehicle,mwa0000040404988,smart vehicle,[],Unknown
548,37,3265885,REVELATIONS,mwa0000040474989,TEMPERATURE_MONITOR,[],"temperature, temp"
549,37,3263638,DatosMeteo,mwa0000033747625,dades dels,[],Unknown
550,37,253161,IoT_E_S,sibutr,TEMP_HUM_PIR_LUX_PRESS_NET_PS,[],"temp, lux, pir"
551,37,3266939,Week-7,mwa0000040347947,Humidity and Tempeature,[],"temp, humidity"
552,37,3224089,Iot energy power,mwa0000039992348,Pzem04t,[],Unknown
553,37,3267024,HUMIDITY & TEMP SENSING,mwa0000038295670,HUMIDITY & TEMP SENSING,[],"temp, humidity"
554,37,3266998,DHT11_Sandeep,mwa0000040485080,Streaming sensor data,[],Unknown
555,37,3039864,DHT11_Raghav,mwa0000038387805,Streaming Sensor Data,[],Unknown
556,38,3266950,week7,mwa0000040348180,to digitally monitor the temperature and humidity data,[],"temperature, temp, humidity"
557,38,3266932,DHT11_Harshyadav,mwa0000038511895,Streaming sensor data,[],Unknown
558,38,3266922,KRISHIV SINGH,mwa0000040484887,STREAMING SENSOR DATA,[],Unknown
559,38,1351546,AIRQO-G512 UNIT ACTIVE,airqodata02,"AirQo Generation 5 monitor, Bwaise",[],Unknown
560,38,3256808,A Convolutional Tran...,mwa0000032051085,This model is designed to detect abnormal behavior in WBNA (Wireless Body Network Applications) or similar sensor-based networks by combining the strengths of Convolutional Neural Networks (CNNs) and Transformers.,[],Unknown
561,38,3266842,DHT11_Vanshik,mwa0000040484333,Streaming sensor data,[],Unknown
562,38,3266819,Irsenor,mwa0000040346621,To upload temperature  and humidity data to cloud using arduino,[],"temperature, temp, humidity"
563,38,1562084,Dados para calibrar ...,FabioAlejandroCarvajal,controle e instrumentação de processos químicos. dados para calibrar sensor de umidade usando como padrão de referencia a curva fornecida pelo fabricante.,[],Unknown
564,38,3266786,adafruit,mwa0000031942729,iiot,[],Unknown
565,38,3266763,Manhole Hazard Node2,mwa0000033070490,,['iot manhole_hazard node2'],Unknown
566,38,3224584,Smart Bin Node1,mwa0000033070490,,['iot for smart bin node1'],Unknown
567,38,3266637,SAP PROJECT,mwa0000040483270,INNOVATION,[],Unknown
568,38,3266563,prueba,mwa0000040483085,ejemplo de configuración del canal,[],Unknown
569,38,3266220,dharanikumar,mwa0000040479471,for wifi connecting,[],Unknown
570,38,3265739,AUTO PLANT CARE SYST...,mwa0000040474134,MICROBIT   IoT bit,[],Unknown
571,39,3266435,BME280 Reading,mwa0000038101050,Reading from BME280(ESP32),[],bme280
572,39,3266465,BME280 Reading,mwa0000038141402,"Reading from
BME280 Reading",[],bme280
573,39,3266487,Temperature and Humi...,mwa0000040482821,Monitor Temperature and Humidity,[],"temperature, temp, humidity"
574,39,3266356,DHT11 Readings,mwa0000038101862,esp32,[],Unknown
575,39,3266371,DHT11 Readings,mwa0000038067802,Readings from BME280 (ESP32),[],bme280
576,39,3266392,DHT11 Reading,mwa0000038067844,Readings from DHT11 (ESP32),[],dht11
577,39,3266390,DHT11 Reading,mwa0000038098736,Reading from DHT11 (ESP32),[],dht11
578,39,3266415,DHT11,mwa0000038100762,Readings from BME280(ESP32),[],bme280
579,39,3266397,BME280 Readings,mwa0000038104946,Readings from BME280 (ESP32),[],bme280
580,39,3266432,DHT11 Readings,mwa0000038081400,Readings from DHT11 sensor (ESP32),[],dht11
581,39,3266419,BME 280 Readings,mwa0000038104927,BME 280 Readings,[],Unknown
582,39,3266401,DHT11,mwa0000038104963,Reading from BME280 (ESP32),[],bme280
583,39,3266399,DHT11,mwa0000038104908,Reading from BME280 (ESP32),[],bme280
584,39,3266359,DHT11 Readings,mwa0000038067810,Readings from DHT11 (ESP32),[],dht11
585,39,3266407,BME280 Readings,mwa0000038101899,Readings from BME280(ESP32),[],bme280
586,40,3266381,DHT11 Reading,mwa0000038067797,Reading from DHT11(ESP32),[],dht11
587,40,3266370,BME280 Reading,mwa0000038105070,Readings from BME 280,[],Unknown
588,40,3266377,BME280 Reading,mwa0000038104898,Readings from BME280 (ESP32),[],bme280
589,40,3266378,DHT11 Reading,mwa0000038067795,Readings from DHT11 (Esp32),[],dht11
590,40,3266366,DHT11,mwa0000038067826,Reading from DHT11,[],dht11
591,40,3266353,BME280 Readings,mwa0000038103955,Readings from BME280(ESP32),[],bme280
592,40,3266433,DHT,mwa0000038116967,DHT,[],Unknown
593,40,3266394,DHT11 reading,mwa0000038072846,Reading from DHT11 (ESP32),[],dht11
594,40,3266398,BME280 Readings,mwa0000038104923,Readings from BME280 (ESP32),[],bme280
595,40,3266400,BME280 Readings,mwa0000038104926,Readings from BME280 (ESP32),[],bme280
596,40,3266373,DTH11Reading,mwa0000038081413,Reading from DHT11,[],dht11
597,40,3266357,DHT11 Readings,mwa0000038067807,reading from esp32,[],Unknown
598,40,3266354,DHT11 Readings,mwa0000038069738,Readings from DHT11(ESP32),[],dht11
599,40,3266393,BME280 readings,mwa0000038104924,Reading from BME280 (ESP32),[],bme280
600,40,3266361,DHT11 Reading,mwa0000038067735,Reading from DHT11,[],dht11
601,41,3266365,DHT11 Readings,mwa0000038067838,Readings from DHT11 (ESP32),[],dht11
602,41,3266385,DHT11 Reading,mwa0000038067685,Reading from DHT11 (ESP32),[],dht11
603,41,3266439,Estacion Meteorologi...,mwa0000040482477,Monitoreo de temperatura y humedad con Arduino y ESP8266,[],temp
604,41,3262499,Store 16 Freezers,mwa0000040452570,Freezer monitoring for Store 16,[],Unknown
605,41,2849054,MPU data,mwa0000019220661,-,[],Unknown
606,41,3266287,Plant Watering Syste...,mwa0000040476269,Plant Watering System - Internet of Things (IoT) Project,[],water
607,41,1072418,Server room,vosarno,"Temperature and humidity, Pi3, DHT 22 / Pi6 ds18b20",[],"temperature, temp, humidity"
608,41,3245799,MyShodnay,mwa0000039846543,TempOut,[],temp
609,41,3237866,CONTROLE DE TEMPERAT...,mwa0000040241967,Realizar o controle de temperatura e Humidade em um jardim artificial.,[],temp
610,41,565191,esp32 si7021 olohuone,piisamirotta59,tää on v1,[],Unknown
611,41,3082441,Calidad del aire en ...,mwa0000016899153,Bienvenido a nuestro canal. Calidad del aire en El Carpio es un canal de pruebas para monitorizar los datos de la calidad del aire en movilidad y climatización. Un proyecto de recogida de datos del Departamento de Tecnología del IES Garci Méndez,[],Unknown
612,41,3266224,Deepak,mwa0000040479679,Streaming sensor data,[],Unknown
613,41,3194050,IOTVZLA4,mwa0000039839924,MONITOREO TEMPERATURA HUMEDAD PROCESO Y AMBIENTE,[],temp
614,41,3266221,DHT11_KushMunjal,mwa0000038410329,Streaming sensor data,[],Unknown
615,41,3204523,Granja Padrão,mwa0000039833130,"Demonstração de controle ambiental padrão de granjas, com controle de temperatura e umidade relativa independentes.",[],temp
616,42,626791,Heating State Upstairs,toinesiebelink67,Shows where Heat is turned on,[],Unknown
617,42,581282,Heating State Downst...,toinesiebelink67,Displays which rooms are being heated downstairs,[],Unknown
618,42,3090819,Estação - Agudela (M...,mwa0000038936053,Estação meteorológica - Agudela (Matosinhos),[],Unknown
619,42,3246166,Lithium guard,mwa0000040328324,monitoring battery in power bank,[],power
620,42,3266190,Smart agriculture,mwa0000034264602,Hzjnxhdyhxgx,[],Unknown
621,42,3254647,SmartDrop,mwa0000040396247,Ақылды тамшылатып суару жүйесі,[],Unknown
622,42,3243723,Prima cirqua monitor...,mwa0000039174024,"2nd set: 4 sensors with 5 quantities: PH, Temp, EC, Turbi, and DO",[],temp
623,42,3253966,Station meteo,mwa0000040388340,station meteo arduino,[],Unknown
624,42,3247567,ESP32 SIM7000G Cloud...,mwa0000034770264,Sensor data sent from ESP32 using SIM7000G cellular module,[],Unknown
625,42,2084596,AirQo-G5162,airqodata02,Air quality monitor for kudho junior school,[],air quality
626,42,3266030,esp32,mwa0000040023860,writing value,[],Unknown
627,42,3266022,Field 1,mwa0000040475706,data collection,[],Unknown
628,42,3266021,Field 1,mwa0000040475971,First time data collection,[],Unknown
629,42,3266019,ChannelArhan,mwa0000040284660,First Time data collection,[],Unknown
630,42,3266020,Temperature_monitor,mwa0000040475940,this channel shows tempreature,[],temp
631,43,3264585,Multi Sensor Environ...,mwa0000033004475,Final Year Project,[],Unknown
632,43,3265988,C_cyberphysics_Weather,mwa0000040475907,weather station for Vt lab,[],Unknown
633,43,3266002,cloud platform,mwa0000040475726,first data holding platform,[],Unknown
634,43,3266003,temperature_monitori...,mwa0000040475683,this channel use to store temperature data.,[],"temperature, temp"
635,43,3265961,Iot_Lab,Shovan,Weather report,[],Unknown
636,43,3265967,C_cyberphysics_Weather,mwa0000039454336,weather station for vt lab,[],Unknown
637,43,3265989,TEMPERATURE MONITERING,mwa0000040475696,SHOWS TEMPERATURE AND HUMIDITY,[],"temperature, temp, humidity"
638,43,3265986,C_CyberPhysics_Weather,mwa0000040475716,,"['temp', 'humidity', 'aqi']","temp, humidity"
639,43,3265978,Group 4,mwa0000038299361,Weather for VT Lab,[],Unknown
640,43,2809506,Hamster Running,mwa0000034045358,NDC - Grade 12 Students,[],Unknown
641,43,3265765,Energy Meter,mwa0000040474564,log energy data,[],energy
642,43,3234077,EL2008 Project,mwa0000040205563,A channel to store and display data for EL2008 IoT project.,[],Unknown
643,43,3140867,GPS Tracking,mwa0000039441744,To detect the location of the object or person,[],Unknown
644,43,3265622,SmartGreenhouseMonit...,mwa0000040358373,CIA Lab Test,[],Unknown
645,43,3265473,Test kanal - 2026 3g if,mwa0000040473184,Test kanal - i forløb thingspeak,[],Unknown
646,44,3265472,Test - IF B 2026,mwa0000040473179,Min test kanal,[],Unknown
647,44,3265470,2026 3g if,mwa0000040473174,Ellens kanal,[],Unknown
648,44,3265475,2026 3g if,mwa0000040473188,Astrid Projekt,[],Unknown
649,44,3265471,2026 3g if,mwa0000040473173,MQs test kanal,[],Unknown
650,44,3265468,2026 3g if,mwa0000040473180,Test kanal,[],Unknown
651,44,3265469,3g Informatik,mwa0000040473183,Test kanal,[],Unknown
652,44,2855408,Mettes test,mwa0000036980623,MQ tester ThingSpeak,[],Unknown
653,44,651031,TESTING ESP,projectsiva,"A good drainage management is a symbol of good city. Now-a-days man-holes are the main problem in the cities. All
the man-holes are not in secure position. Most of the drainage are in damaged condition. Because of the damaged
drainage, there are chances",[],rain
654,44,3265477,F-16 Fighting Falcon,mwa0000040473163,Loadout,[],Unknown
655,44,3265466,Test,mwa0000040473166,Test kanal,[],Unknown
656,44,3265474,2026 3g if,mwa0000040473170,mettes testkanal,[],Unknown
657,44,3265414,ESP32 Smart Home,mwa0000040472968,"Temperature, Humidity, LED",[],"temperature, temp, humidity"
658,44,3265124,IoT - BASED SMART GA...,iotmonitoringsys,IoT - BASED SMART GARBAGE DISPOSAL AND WASTE SEGREGATION SYSTEM,[],Unknown
659,44,3264995,dillon,mwa0000040415981,iot job 10,[],Unknown
660,44,3252279,MEDIDOR DE ENERGÍA D...,mwa0000038022800,"Es un proyecto de un medidor de energía, para poder medir los parámetros eléctricos básicos de los equipo de una vivienda ubicada en Chilca",[],Unknown
661,45,3264987,MEDIDOR DE ENERGÍA D...,mwa0000038022800,Se realizo un medidor para poder analizar los parámetros eléctricos básicos de los equipos de una vivienda ubicado en El Tambo,[],Unknown
662,45,3260461,daisy,mwa0000040441517,hello,[],Unknown
663,45,3225890,IOT temperature and ...,mwa0000040104846,temperature and humidity,[],"temperature, temp, humidity"
664,45,3264980,Temperature,mwa0000040471019,Temp. control method,[],temp
665,45,262308,Teste,py1acv,teste,[],Unknown
666,45,3264968,Monitor de Temperatu...,mwa0000040470692,Sistema de supervisión de temperatura y humedad usando ESP32 y DHT22,[],"temp, dht22"
667,45,3258476,Herschede,mwa0000040426952,Clock pendulum analysis,[],Unknown
668,45,3264524,FIAP-ATV-3-LEITURA-D...,mwa0000040462634,Atividade n*3 da FIAP,[],Unknown
669,45,3264959,ergCanal,mwa0000040334524,RAM and CPU channel,[],Unknown
670,45,3264956,Líheň,mwa0000040470174,Líheň,[],Unknown
671,45,2048756,Oro Kokybė,mwa0000029338219,Oro kokybė,[],Unknown
672,45,3263923,Напряжение в сети,klazarev,Напряжение и частота сети,[],Unknown
673,45,3231587,Basement_Monitoring_...,mwa0000040116710,to detect rain or flood in basements,[],rain
674,45,3264709,Trạm Khí Tượng,mwa0000040466953,do lường,[],Unknown
675,45,3264877,Nir Atzion,mwa0000020710170,ERT in reservoirs,[],Unknown
676,46,3264871,IOT Water Quality Me...,mwa0000040468748,IOT Water Quality Measurement System using Raspberry Pi and Machine Learning,[],water
677,46,3264846,TRACKING SYSTEM,mwa0000037247700,Project of using  TTIGO-ESP32,[],Unknown
678,46,3264839,data from Pi,mwa0000040468554,this is a test channel to view data from the raspberry Pi in a test environment,[],Unknown
679,46,3262496,pH meter,mwa0000040452556,Mengukur pH cairan,[],Unknown
680,46,2002375,Oil Tank Levels,mwa0000020951734,Monitoring home heating oil tank levels,[],Unknown
681,46,3264501,Human Activity Monitor,mwa0000040464282,mmWave-based human activity intensity over time,[],Unknown
682,46,3264775,HW2,mwa0000039978231,การบ้านครั้งที่2,[],Unknown
683,46,3264477,weerstation,mwa0000040463896,thuis weerstation,[],Unknown
684,46,3264429,LiangJiang_Monitor,mwa0000040463148,ZhanJiang LiangJiang Soil&Env Monitor,[],soil
685,46,3177110,H2O WATCHDOG,mwa0000038133676,IOT based Water Quality Monitoring System,[],water
686,46,3254332,weight detection,mwa0000040393310,weight in kg,[],Unknown
687,46,3218346,PHANLOAI,mwa0000030586012,LINK VNET WECON,[],Unknown
688,46,3264633,IOT WEATHER STATION,mwa0000040433836,AURDINO IOT HUMIDITY DATA,[],humidity
689,46,3264628,DSB WIFI TI 243/3264628,mwa0000040439340,Nextcon LTDA,[],Unknown
690,46,3264626,DSB WIFI TI 243/3264626,mwa0000040439340,Nextcon LTDA,[],Unknown
691,47,3264625,DSB WIFI TI 243/3264625,mwa0000040439340,Nextcon LTDA,[],Unknown
692,47,3264624,DSB WIFI TI 243/3264624,mwa0000040439340,Nextcon LTDA,[],Unknown
693,47,3264622,Water Monitoring System,mwa0000039283862,Water Monitoring System,[],water
694,47,3264623,DSB WIFI TI 242/3264623,mwa0000040439329,Nextcon LTDA,[],Unknown
695,47,3264620,DSB WIFI TI 242/3264620,mwa0000040439329,Nextcon LTDA,[],Unknown
696,47,3264619,DSB WIFI TI 242/3264619,mwa0000040439329,Nextcon LTDA,[],Unknown
697,47,3264618,DSB WIFI TI 242/3264618,mwa0000040439329,Nextcon LTDA,[],Unknown
698,47,3264617,DSB WIFI TI 241/3264617,mwa0000040439323,Nextcon LTDA,[],Unknown
699,47,3264616,DSB WIFI TI 241/3264616,mwa0000040439323,Nextcon LTDA,[],Unknown
700,47,3264615,DSB WIFI TI 241/3264615,mwa0000040439323,Nextcon LTDA,[],Unknown
701,47,3264614,DSB WIFI TI 241/3264614,mwa0000040439323,Nextcon LTDA,[],Unknown
702,47,3264613,AHT WIFI TI 240/3264613,mwa0000040439316,Nextcon LTDA,[],Unknown
703,47,3264612,AHT WIFI TI 240/3264612,mwa0000040439316,Nextcon LTDA,[],Unknown
704,47,3264611,AHT WIFI TI 240/3264611,mwa0000040439316,Nextcon LTDA,[],Unknown
705,47,3264610,AHT WIFI TI 240/3264610,mwa0000040439316,Nextcon LTDA,[],Unknown
706,48,3264607,AHT WIFI TI 239/3264607,mwa0000040439300,Nextcon LTDA,[],Unknown
707,48,3264606,AHT WIFI TI 239/3264606,mwa0000040439300,Nextcon LTDA,[],Unknown
708,48,3264605,AHT WIFI TI 239/3264605,mwa0000040439300,Nextcon LTDA,[],Unknown
709,48,3264604,AHT WIFI TI 239/3264604,mwa0000040439300,Nextcon LTDA,[],Unknown
710,48,3264603,AHT WIFI TI 238/3264603,mwa0000040439265,Nextcon LTDA,[],Unknown
711,48,3264602,AHT WIFI TI 238/3264602,mwa0000040439265,Nextcon LTDA,[],Unknown
712,48,3264601,AHT WIFI TI 238/3264601,mwa0000040439265,Nextcon LTDA,[],Unknown
713,48,3264599,AHT WIFI TI 238/3264599,mwa0000040439265,Nextcon LTDA,[],Unknown
714,48,3264598,AHT WIFI TI 237/3264598,mwa0000040439246,Nextcon LTDA,[],Unknown
715,48,3264597,AHT WIFI TI 237/3264597,mwa0000040439246,Nextcon LTDA,[],Unknown
716,48,3264595,AHT WIFI TI 237/3264595,mwa0000040439246,Nextcon LTDA,[],Unknown
717,48,754744,Mortens stue,mortennordby,Temp ved skrivepulten i stua,[],temp
718,48,3264563,Plant intelligent,mwa0000033282519,Smart plant Iot Systeme,[],Unknown
719,48,3264508,DHT22 + PM2.5,mwa0000040464405,ABA,[],Unknown
720,48,3264533,Weather Station,mwa0000040464754,Weather Pressure Station,[],pressure
721,49,2145829,WCPool,mwa0000030129960,Pool sensors,[],Unknown
722,49,3258509,Bee IoT,mwa0000040414212,Uso de sensores para Tesis de Apicultura,[],Unknown
723,49,3264520,Estacion_Meteorologi...,mwa0000040464466,"Proyecto IoT con ESP8266 para medir temperatura, humedad, luz y presión atmosférica en Facatativá.",[],temp
724,49,3152075,Solar power monitori...,mwa0000039527935,Solar power monitoring system,[],power
725,49,797029,Wetterdat FR,arduino4me,Das Zielsystem mit ext. WLAN-Antenne,[],Unknown
726,49,3032148,ILP Gear Testing,mwa0000017208135,Life Test Of ILP Gear  Comp,[],Unknown
727,49,3264459,Smart weather station,mwa0000040463699,"It gives info about the outside temp and humidity 
And warns if temp is very hot or cold",[],"temp, humidity"
728,49,3044930,HOME  AUTOMATION,mwa0000037731144,ON OFF,[],Unknown
729,49,3264450,Weather Monitoring,mwa0000034575712,Farmland,[],Unknown
730,49,2388050,N.A.And.Tlf_Verileri1,mwa0000032492853,2CihazKontrol,[],Unknown
731,49,965025,Detva(DT),lubok82,"Detva, datovy terminal",[],Unknown
732,49,3250988,Local Weather Monito...,mwa0000040352332,"A Weather Monitoring System using ESP8266 and ThingSpeak collects environmental data (like temperature, humidity, pressure, etc.) and sends it to the ThingSpeak IoT cloud over Wi-Fi for real-time monitoring and graphs.",[],"temperature, temp, humidity, pressure"
733,49,3263752,Rinex_IOT_Feb-26_Demo,mwa0000032232473,,['#dht22'],dht22
734,49,3264379,test,mwa0000036913395,it's test,[],Unknown
735,49,1597304,F30 (17-24),lm6369243,DEMO,[],Unknown
736,50,1480654,F30 (9-16),lm6369243,DEMO,[],Unknown
737,50,1435132,F30 (1-8),lm6369243,DEMO,[],Unknown
738,50,3264205,Energieverbrauch Haus,mwa0000040462143,"Test - Gesamtverbrauch im Haus, PV + Verteilungsnetz und Verbrauch E-Transit",[],Unknown
739,50,3264229,sewage water decetetion,mwa0000031450022,A sensor-based detection system is installed in the drainage pipe to detect water stagnation (stuck condition) and alert authorities or users immediately.,[],"water, rain"
740,50,3264077,Beckhoff to LabVIEW ...,mwa0000040461689,This is a test project,[],Unknown
741,50,3264130,Channel trial A01NYUB,mwa0000030664278,Untuk percobaan,[],Unknown
742,50,3264140,Wifi Checking,mwa0000039781066,checker,[],Unknown
743,50,3245900,Anjali,mwa0000040310700,Anjali,[],Unknown
744,50,3264128,WOMEN SAFETY,mwa0000039336043,WOMEN SAFETY,[],Unknown
745,50,1290039,AIRQO-G503 UNIT ACTIVE,airqodata02,gen5 device at nakawa colocation farmy,[],Unknown
746,50,3264040,Intruder Alert System,mwa0000036126941,"Monitors IR & Ultrasonic Sensors, Buzzer, LCD",[],ultrasonic
747,50,3263996,Flood Alart System,mwa0000040461247,IOT,[],Unknown
748,50,3263961,Krishna Samanta,mwa0000040461056,Health Monitoring System,[],Unknown
749,50,3255086,Smart Solar Bench,mwa0000040402589,"Monitorim ne kohe reale,i temperatures,lageshtires,presionit atmosferik dhe rezistences se gazit(BME680),i integruar ne nje stol inteligjent per ambiente publike dhe sherbime shtese Wi Fi Free,Phone Charge,Ndriçim automatik,Bluetooth,Wireless Charger.",[],"temperature, temp"
750,50,3252326,Matlab/simulink Moni...,mwa0000019458053,Li ion Battery voltage monitoring,[],voltage
751,51,3194205,Pierwszy kanal,mwa0000039842223,Test,[],Unknown
